name,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD A8-7650K,4,3.3,3.7,95,Radeon R7 (on-die),False
Intel Core i3-6300,2,3.8,,51,Intel HD Graphics 530,True
Intel Core i7-960,4,3.2,,130,,True
Intel Core i5-9500F,6,3.0,4.4,65,,False
Intel Xeon E3-1270 V3,4,3.5,3.9,80,,True
Intel Core 2 Extreme QX9770,4,3.2,,136,,False
Intel Xeon E5-2695 V4,18,2.1,3.3,120,,True
Intel Core 2 Extreme QX9650,4,3.0,,130,,False
Intel Core i5-8400T,6,1.7,3.3,35,Intel UHD Graphics 630,False
AMD Athlon X2 370K,2,4.2,,65,,False
Intel Xeon E5-1660 V3,8,3.0,3.5,140,,True
