name,socket,form_factor,max_memory,memory_slots
Asus ROG STRIX Z390-E GAMING,LGA1151,ATX,128,4
Asus ROG STRIX B760-A GAMING WIFI D4,LGA1700,ATX,128,4
Asus PRIME Z790-P WIFI D4,LGA1700,ATX,128,4
ASRock Z690 Phantom Gaming-ITX/TB4,LGA1700,Mini ITX,96,2
Asus ROG STRIX B550-F GAMING (WI-FI),AM4,ATX,128,4
MSI MPG Z490 GAMING EDGE WIFI,LGA1200,ATX,128,4
Gigabyte Z790 AORUS PRO X WIFI7,LGA1700,ATX,192,4
MSI MPG B760M EDGE TI WIFI,LGA1700,Micro ATX,192,4
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),AM4,ATX,64,4
Asus ROG STRIX B660-I GAMING WIFI,LGA1700,Mini ITX,96,2
ASRock Z790 Nova WiFi,LGA1700,ATX,192,4
Asus ROG STRIX B550-I GAMING,AM4,Mini ITX,64,2
Asus TUF GAMING B760M-PLUS WIFI D4,LGA1700,Micro ATX,128,4
Asus PRIME B650M-A AX II,AM5,Micro ATX,192,4
ASRock Z790 Steel Legend WiFi,LGA1700,ATX,192,4
Gigabyte Z790I AORUS ULTRA,LGA1700,Mini ITX,96,2
Gigabyte GA-H270N-WIFI,LGA1151,Mini ITX,32,2
ASRock Z790 PRO RS WIFI,LGA1700,ATX,192,4
Gigabyte B650E AORUS MASTER,AM5,ATX,192,4
Gigabyte H510M S2H V3,LGA1200,Micro ATX,64,2
Asus PRIME H510M-E,LGA1200,Micro ATX,64,2
Gigabyte Z790 D AC,LGA1700,ATX,192,4
Gigabyte X570 AORUS ELITE WIFI,AM4,ATX,128,4
MSI MPG Z390 GAMING EDGE AC,LGA1151,ATX,128,4
Gigabyte B760 GAMING X DDR4,LGA1700,ATX,128,4
MSI B450-A PRO MAX,AM4,ATX,64,4
Asus PRIME X570-PRO,AM4,ATX,128,4
Gigabyte B760M DS3H AX DDR4,LGA1700,Micro ATX,128,4
Gigabyte B450 AORUS M,AM4,Micro ATX,64,4
Asus PRIME H610M-A WIFI D4,LGA1700,Micro ATX,64,2
MSI MEG Z790 ACE,LGA1700,EATX,192,4
Gigabyte X570SI AORUS PRO AX,AM4,Mini ITX,64,2
MSI MPG X570 GAMING PLUS,AM4,ATX,128,4
ASRock Z790 PG Lightning/D4,LGA1700,ATX,128,4
MSI B450 TOMAHAWK MAX II,AM4,ATX,128,4
Gigabyte GA-A320M-S2H,AM4,Micro ATX,64,2
ASRock A620M-HDV/M.2,AM5,Micro ATX,96,2
MSI X470 GAMING PLUS MAX,AM4,ATX,64,4
Supermicro MBD-X10DAX,2 x LGA2011-3,EATX,2048,16
ASRock X570 Phantom Gaming 4 WiFi ax,AM4,ATX,128,4
Asus PRIME Z270-A,LGA1151,ATX,64,4
ASRock B450 Pro4 R2.0,AM4,ATX,128,4
Asus TUF GAMING B550M-PLUS,AM4,Micro ATX,128,4
